CustomerID,OrderID,Channel,PaymentType,Brand,Shop,Promotion,SalePrice, Sale_Price ," 23,000 ",SaleDate,Reference
CTM012,OTS015,Online,Thẻ,LenovoX1,Phong Vũ,Không,27000000," 27,000,000 ",,4/23/2020,
CTM10164,OTS831,Offline,Tiền mặt,Apple,Viettel Store,Không,3020000," 3,020,000 ",,8/3/2020,Nhân viên cửa hàng bán Laptop
CTM10246,OTS293,Offline,Tiền mặt,Dell,FPT Shop,Có,18310000," 18,310,000 ", ,10/9/2020,"Nhân viên cửa hàng bán Laptop, Mạng xã hội, Website"
CTM1028,OTS34756,Offline,Tiền mặt,MSI,Phong Vũ,Không,12203000," 12,203,000 ",,5/24/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM1028,OTS1044,Offline,Tiền mặt,Asus,Thế giới di động,Có,13070000," 13,070,000 ",,10/8/2020,Nhờ người có chuyên môn tư vấn
CTM1028,OTS40774,Offline,Tiền mặt,Acer,Phong Vũ,Không,10172000," 10,172,000 ",,12/10/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop"
CTM1028,OTS92355,Online,Thẻ,Acer,Viễn thông A,Không,20013000," 20,013,000 ",,12/26/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM10516,OTS37995,Offline,Thẻ,MSI,Techcare,Không,3232000," 3,232,000 ",,1/9/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop"
CTM10516,OTS842,Online,Thẻ,Asus,Điện máy xanh,Không,19950000," 19,950,000 ",,9/24/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Mạng xã hội, Phương tiện truyền thông (báo, tivi,...)"
CTM10573,OTS67163,Online,Thẻ,HP,Techcare,Không,"$2,139 "," 49,197,000 ",,2/22/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM10573,OTS51473,Online,Thẻ,Acer,,Có,13513000," 13,513,000 ",,3/10/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM10573,OTS4716,Offline,Thẻ,Asus,Phong Vũ,Không,11405000," 11,405,000 ",,9/7/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop"
CTM10573,OTS232,Offline,Tiền mặt,Acer,FPT Shop,Có,14510000," 14,510,000 ",,12/2/2020,"Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM10591,OTS333,Online,Thẻ,Asus,Thế giới di động,Có,10800000," 10,800,000 ",,12/1/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Mạng xã hội, Phương tiện truyền thông (báo, tivi,...), Website"
CTM10657,OTS551,Offline,Tiền mặt,Apple,Viettel Store,Không,4860000," 4,860,000 ",,7/3/2020,Nhờ người có chuyên môn tư vấn
